位置,排名,因素,混合权重,PCA权重,熵权权重
PG,1,PF,0.2043806239316619,0.03330943566686584,0.3754518121964579
PG,2,TOV,0.1818073045702446,0.028391386203861852,0.3352232229366273
PG,3,GS,0.036779529582725415,0.03744646823192409,0.03611259093352673
PG,4,MP,0.034735363349650335,0.041078637488746426,0.028392089210554233
PG,5,FT,0.03324506282875757,0.04167932128019954,0.02481080437731558
SG,1,PF,0.21848033444515128,0.029863999459413402,0.4070966694308891
SG,2,TOV,0.1620074381367838,0.0375748641335427,0.2864400121400249
SG,3,GS,0.03553661317181383,0.029280971188380456,0.0417922551552472
SG,4,MP,0.032360164414851386,0.03582115163881959,0.028899177190883186
SG,5,BLK,0.03116094029806563,0.029399778425847754,0.032922102170283504
SF,1,PF,0.23411547610919986,0.026492133882967003,0.44173881833543266
SF,2,TOV,0.14980716730367888,0.03128246769330063,0.2683318669140571
SF,3,MP,0.03683536430529986,0.04282984329504483,0.030840885315554876
SF,4,GS,0.03212520916380667,0.036710011197100094,0.027540407130513242
SF,5,FT,0.028437672465629473,0.03836102681960719,0.018514318111651756
PF,1,PF,0.23856805731850278,0.03395531705180293,0.4431807975852026
PF,2,TOV,0.13277908104150843,0.03429082194563511,0.23126734013738173
PF,3,GS,0.040129080245159585,0.03953174288892131,0.040726417601397856
PF,4,MP,0.035979478498778666,0.04239846586405782,0.029560491133499508
PF,5,2P,0.03100538273512469,0.038640321018641496,0.023370444451607877
C,1,PF,0.22295294820640948,0.0339574786619777,0.4119484177508413
C,2,TOV,0.15037076983164308,0.03125359610218834,0.2694879435610978
C,3,GS,0.03894698784350394,0.03501244438899827,0.04288153129800962
C,4,3PA,0.03389821079207471,0.0324412979607192,0.03535512362343021
C,5,MP,0.032352921288530984,0.03685578735914198,0.02785005521791999
